,symbol,position,order,close
2024-05-10 06:35:00+02:00,ETH-USD,0.0,0.0,3030.418701171875
2024-05-10 06:36:00+02:00,ETH-USD,0.0,0.0,3031.714111328125
2024-05-10 06:37:00+02:00,ETH-USD,0.0,0.0,3032.336669921875
2024-05-10 06:38:00+02:00,ETH-USD,0.0,0.0,3032.040771484375
2024-05-10 06:39:00+02:00,ETH-USD,0.0,0.0,3032.21337890625
2024-05-10 06:40:00+02:00,ETH-USD,0.0,0.0,3033.125732421875
2024-05-10 06:41:00+02:00,ETH-USD,0.0,0.0,3032.684326171875
2024-05-10 06:42:00+02:00,ETH-USD,0.0,0.0,3031.293212890625
2024-05-10 06:43:00+02:00,ETH-USD,0.0,0.0,3030.594970703125
2024-05-10 06:45:00+02:00,ETH-USD,0.0,0.0,3029.183349609375
2024-05-10 06:46:00+02:00,ETH-USD,0.0,0.0,3029.509765625
2024-05-10 06:48:00+02:00,ETH-USD,0.0,0.0,3028.9638671875
2024-05-10 06:49:00+02:00,ETH-USD,0.0,0.0,3029.382080078125
2024-05-10 06:50:00+02:00,ETH-USD,0.0,0.0,3030.931396484375
2024-05-10 06:51:00+02:00,ETH-USD,0.0,0.0,3029.552490234375
2024-05-10 06:52:00+02:00,ETH-USD,0.0,0.0,3029.54345703125
2024-05-10 06:53:00+02:00,ETH-USD,0.0,0.0,3028.9951171875
2024-05-10 06:54:00+02:00,ETH-USD,0.0,0.0,3028.940185546875
2024-05-10 06:55:00+02:00,ETH-USD,0.0,0.0,3031.51806640625
2024-05-10 06:56:00+02:00,ETH-USD,0.0,0.0,3031.150634765625
2024-05-10 06:57:00+02:00,ETH-USD,0.0,0.0,3030.413818359375
2024-05-10 06:58:00+02:00,ETH-USD,0.0,0.0,3031.0634765625
2024-05-10 06:59:00+02:00,ETH-USD,0.0,0.0,3031.48291015625
2024-05-10 07:00:00+02:00,ETH-USD,0.0,0.0,3031.1767578125
2024-05-10 07:01:00+02:00,ETH-USD,0.0,0.0,3032.85546875
2024-05-10 07:02:00+02:00,ETH-USD,0.0,0.0,3031.083984375
2024-05-10 07:03:00+02:00,ETH-USD,0.0,0.0,3032.86767578125
2024-05-10 07:04:00+02:00,ETH-USD,0.0,0.0,3032.64306640625
2024-05-10 07:05:00+02:00,ETH-USD,0.0,0.0,3031.97705078125
2024-05-10 07:06:00+02:00,ETH-USD,0.0,0.0,3029.822265625
2024-05-10 07:07:00+02:00,ETH-USD,0.0,0.0,3030.17431640625
2024-05-10 07:08:00+02:00,ETH-USD,0.0,0.0,3030.189453125
2024-05-10 07:10:00+02:00,ETH-USD,0.0,0.0,3029.403076171875
2024-05-10 07:11:00+02:00,ETH-USD,0.0,0.0,3027.26953125
2024-05-10 07:13:00+02:00,ETH-USD,0.0,0.0,3026.055419921875
2024-05-10 07:14:00+02:00,ETH-USD,0.0,0.0,3025.548583984375
2024-05-10 07:15:00+02:00,ETH-USD,0.0,0.0,3024.918212890625
2024-05-10 07:16:00+02:00,ETH-USD,0.0,0.0,3025.935791015625
2024-05-10 07:17:00+02:00,ETH-USD,0.0,0.0,3024.99853515625
2024-05-10 07:18:00+02:00,ETH-USD,0.0,0.0,3025.19873046875
2024-05-10 07:19:00+02:00,ETH-USD,0.0,0.0,3025.332763671875
2024-05-10 07:20:00+02:00,ETH-USD,0.0,0.0,3025.35400390625
2024-05-10 07:21:00+02:00,ETH-USD,0.0,0.0,3025.126708984375
2024-05-10 07:22:00+02:00,ETH-USD,0.0,0.0,3023.45703125
2024-05-10 07:23:00+02:00,ETH-USD,0.0,0.0,3023.763916015625
2024-05-10 07:24:00+02:00,ETH-USD,0.0,0.0,3023.712646484375
2024-05-10 07:25:00+02:00,ETH-USD,0.0,0.0,3022.953857421875
2024-05-10 07:26:00+02:00,ETH-USD,0.0,0.0,3022.797607421875
2024-05-10 07:27:00+02:00,ETH-USD,0.0,0.0,3023.258544921875
2024-05-10 07:28:00+02:00,ETH-USD,0.0,0.0,3022.990478515625
2024-05-10 07:29:00+02:00,ETH-USD,0.0,0.0,3022.66259765625
2024-05-10 07:30:00+02:00,ETH-USD,0.0,0.0,3022.346923828125
2024-05-10 07:31:00+02:00,ETH-USD,0.0,0.0,3022.30712890625
2024-05-10 07:32:00+02:00,ETH-USD,0.0,0.0,3024.28515625
2024-05-10 07:33:00+02:00,ETH-USD,0.0,0.0,3024.239501953125
2024-05-10 07:35:00+02:00,ETH-USD,0.0,0.0,3027.98828125
2024-05-10 07:36:00+02:00,ETH-USD,0.0,0.0,3028.58447265625
2024-05-10 07:38:00+02:00,ETH-USD,0.0,0.0,3028.380126953125
2024-05-10 07:39:00+02:00,ETH-USD,0.0,0.0,3028.548583984375
2024-05-10 07:40:00+02:00,ETH-USD,0.0,0.0,3028.1201171875
2024-05-10 07:41:00+02:00,ETH-USD,0.0,0.0,3027.620849609375
2024-05-10 07:42:00+02:00,ETH-USD,0.0,0.0,3027.447998046875
